d
66
74
12
76
8
50
54
56
38
56
76
86
84
44
98
60
92
8
102
96
82
36
98
114
88
82
58
60
56
86
58
24
48
70
72
66
48
164
28
76
94
68
58
72
72
22
36
72
8
50
56
28
50
42
30
34
104
32
38
36
84
60
86
30
10
50
64
64
110
92
114
34
56
8
40
8
66
52
52
70
86
28
70
40
26
56
2
52
12
60
94
82
38
90
92
22
82
58
122
50
44
28
88
56
72
68
108
74
78
8
18
56
40
88
50
74
64
80
68
54
30
14
88
6
26
82
18
30
52
32
80
102
60
128
24
54
62
54
80
56
26
18
86
76
40
68
10
30
126
24
12
68
54
64
54
66
50
64
94
88
54
122
74
82
82
68
84
18
32
100
52
2
16
74
64
66
56
98
68
44
72
104
42
40
100
72
8
80
114
44
54
42
22
70
82
64
92
94
42
52
66
46
64
56
64
112
50
56
56
10
58
94
108
82
68
122
30
116
74
92
80
72
92
10
86
40
106
10
102
102
40
12
42
42
42
8
32
96
44
66
54
32
8
30
36
30
26
64
94
32
94
18
68
34
88
36
54
6
106
54
16
44
36
96
12
70
78
96
38
38
142
36
12
46
110
104
92
98
80
90
10
6
62
60
4
22
68
18
28
20
62
28
80
94
86
122
96
86
42
26
72
46
26
70
44
72
22
88
48
6
40
96
92
36
72
22
48
38
48
68
72
118
22
64
32
4
96
40
68
18
100
74
68
44
14
64
48
42
94
28
98
54
46
58
102
42
24
60
114
58
108
110
8
60
66
40
20
30
34
74
118
64
44
22
108
136
48
62
100
54
58
100
56
86
20
62
46
22
44
76
0
76
60
96
54
70
36
22
68
112
42
50
6
68
74
68
20
2
34
114
64
62
112
42
42
68
48
30
106
82
46
28
66
62
34
8
146
28
60
94
44
100
126
106
110
50
18
56
74
48
74
86
54
96
24
110
96
16
26
6
14
106
52
62
70
14
2
54
60
38
90
26
24
62
60
58
34
64
94
122
28
102
116
128
98
76
106
76
2
34
68
64
44
72
64
20
76
6
78
48
68
26
72
56
86
48
48
104
70
80
22
76
106
56
30
56
34
148
62
2
126
52
100
44
34
72
74
98
50
80
64
28
38
34
108
82
26
38
74
28
110
66
60
68
94
62
28
64
46
122
32
38
50
82
92
16
80
76
128
88
68
36
52
80
82
16
2
68
30
68
128
74
48
88
70
38
40
60
40
78
62
48
80
12
106
128
24
102
78
88
122
46
16
120
46
64
66
116
90
92
86
30
96
82
86
42
26
104
132
46
94
16
122
48
108
38
84
80
54
104
92
48
38
52
84
8
88
56
30
70
76
40
72
68
6
72
84
54
98
28
54
50
98
82
12
26
64
44
4
40
64
74
68
48
6
32
2
6
102
28
48
72
32
40
96
58
42
106
14
80
42
96
56
50
44
52
104
98
54
60
86
72
96
46
54
82
118
2
74
80
108
90
70
38
16
40
80
58
62
46
48
32
90
20
126
82
40
58
62
40
50
50
102
102
46
70
50
70
26
82
94
64
64
62
114
76
40
20
82
36
94
40
128
34
54
80
52
58
76
78
58
48
72
84
12
54
24
46
114
48
92
30
50
50
44
50
56
20
62
16
84
60
56
106
94
38
2
82
4
88
38
106
130
24
54
60
28
38
44
82
44
40
36
56
76
70
30
16
16
56
72
36
96
84
54
100
52
64
122
98
22
86
76
40
28
78
68
92
86
76
20
18
88
32
68
52
60
112
80
102
78
96
86
94
26
44
26
48
84
106
26
56
96
28
48
60
78
44
34
58
72
66
78
82
132
44
48
44
108
48
48
72
84
70
62
36
46
36
24
102
88
20
114
48
36
102
114
54
50
108
38
70
56
60
14
48
112
70
112
58
126
6
76
84
86
100
94
76
100
84
96
182
84
116
74
32
88
66
80
44
144
106
36
56
42
70
36
48
78
112
90
74
36
76
52
62
74
2
34
80
66
44
52
50
14
74
64
60
56
16
42
108
22
104
86
84
8
42
78
68
92
18
88
46
78
76
68
24
34
16
72
72
64
60
50
46
18
2
46
108
56
82
6
74
54
48
76
108
76
18
76
52
106
52
70
40
74
54
74
74
46
140
2
72
114
62
50
2
92
72
48
18
92
46
16
80
30
66
50
76
82
106
24
54
58
50
34
84
8
44
106
64
68
64
24
36
94
68
54
60
